Success 1: checkpoint_epoch_1_20250320_171718: Pat 6, 40 Epochs, .0001 LR, 32 Batch Size, 4 Layers, .3 Dropout, 16-128 Conv, 2 Linear 128-256, Fold 1:

Epoch [23/50], Train Loss: 0.3354, Train Acc: 86.92%, Val Loss: 0.3226, Val Acc: 87.22%
Epoch [24/50], Train Loss: 0.3282, Train Acc: 86.92%, Val Loss: 0.2928, Val Acc: 88.42%
Epoch [25/50], Train Loss: 0.3326, Train Acc: 86.58%, Val Loss: 0.3076, Val Acc: 87.42%
Epoch [26/50], Train Loss: 0.3229, Train Acc: 87.41%, Val Loss: 0.3158, Val Acc: 87.68%
Epoch [27/50], Train Loss: 0.3325, Train Acc: 86.92%, Val Loss: 0.2980, Val Acc: 88.52%
Epoch [28/50], Train Loss: 0.3274, Train Acc: 87.21%, Val Loss: 0.3011, Val Acc: 88.32%
Epoch [29/50], Train Loss: 0.3191, Train Acc: 87.70%, Val Loss: 0.2866, Val Acc: 88.76%
Epoch [30/50], Train Loss: 0.3275, Train Acc: 86.96%, Val Loss: 0.2928, Val Acc: 88.99%
Epoch [31/50], Train Loss: 0.3174, Train Acc: 87.28%, Val Loss: 0.2899, Val Acc: 88.55%
Epoch [32/50], Train Loss: 0.3240, Train Acc: 87.22%, Val Loss: 0.2888, Val Acc: 88.79%
Epoch [33/50], Train Loss: 0.3235, Train Acc: 87.61%, Val Loss: 0.3000, Val Acc: 87.95%
Epoch [34/50], Train Loss: 0.3141, Train Acc: 87.78%, Val Loss: 0.2764, Val Acc: 89.26%
Epoch [35/50], Train Loss: 0.3214, Train Acc: 87.62%, Val Loss: 0.2937, Val Acc: 88.79%
Epoch [36/50], Train Loss: 0.3155, Train Acc: 87.59%, Val Loss: 0.2815, Val Acc: 89.26%
Epoch [37/50], Train Loss: 0.3168, Train Acc: 87.52%, Val Loss: 0.3025, Val Acc: 87.72%
Epoch [38/50], Train Loss: 0.3227, Train Acc: 87.31%, Val Loss: 0.2921, Val Acc: 88.52%
Epoch [39/50], Train Loss: 0.3132, Train Acc: 87.91%, Val Loss: 0.3013, Val Acc: 87.85%
Epoch [40/50], Train Loss: 0.3152, Train Acc: 87.39%, Val Loss: 0.2910, Val Acc: 88.92%
Early stopping triggered.
Training on fold 4/5...
Epoch [1/50], Train Loss: 1.0670, Train Acc: 42.21%, Val Loss: 1.0063, Val Acc: 48.03%
Epoch [2/50], Train Loss: 0.9602, Train Acc: 51.64%, Val Loss: 0.8675, Val Acc: 56.09%
Epoch [3/50], Train Loss: 0.8678, Train Acc: 56.84%, Val Loss: 0.8713, Val Acc: 57.90%
Epoch [4/50], Train Loss: 0.7716, Train Acc: 63.71%, Val Loss: 0.7895, Val Acc: 61.45%
Epoch [5/50], Train Loss: 0.7007, Train Acc: 67.64%, Val Loss: 0.6513, Val Acc: 71.69%
Epoch [6/50], Train Loss: 0.6059, Train Acc: 73.08%, Val Loss: 0.5815, Val Acc: 73.76%
Epoch [7/50], Train Loss: 0.5454, Train Acc: 76.44%, Val Loss: 0.5292, Val Acc: 77.74%
Epoch [8/50], Train Loss: 0.5260, Train Acc: 77.44%, Val Loss: 0.4816, Val Acc: 78.95%
Epoch [9/50], Train Loss: 0.4914, Train Acc: 78.93%, Val Loss: 0.4759, Val Acc: 79.92%
Epoch [10/50], Train Loss: 0.4642, Train Acc: 80.70%, Val Loss: 0.4686, Val Acc: 79.89%
Epoch [11/50], Train Loss: 0.4240, Train Acc: 82.76%, Val Loss: 0.3901, Val Acc: 84.04%
Epoch [12/50], Train Loss: 0.4072, Train Acc: 83.54%, Val Loss: 0.4062, Val Acc: 83.67%
Epoch [13/50], Train Loss: 0.4086, Train Acc: 83.01%, Val Loss: 0.3737, Val Acc: 84.91%
Epoch [14/50], Train Loss: 0.3886, Train Acc: 83.93%, Val Loss: 0.3603, Val Acc: 85.68%
Epoch [15/50], Train Loss: 0.3900, Train Acc: 83.89%, Val Loss: 0.3458, Val Acc: 86.08%
Epoch [16/50], Train Loss: 0.3604, Train Acc: 85.59%, Val Loss: 0.3406, Val Acc: 86.04%
Epoch [17/50], Train Loss: 0.3552, Train Acc: 85.90%, Val Loss: 0.3422, Val Acc: 86.21%
Epoch [18/50], Train Loss: 0.3501, Train Acc: 86.30%, Val Loss: 0.3268, Val Acc: 86.65%
Epoch [19/50], Train Loss: 0.3454, Train Acc: 86.15%, Val Loss: 0.3263, Val Acc: 86.68%
Epoch [20/50], Train Loss: 0.3318, Train Acc: 86.67%, Val Loss: 0.3167, Val Acc: 87.32%
Epoch [21/50], Train Loss: 0.3325, Train Acc: 87.05%, Val Loss: 0.3168, Val Acc: 87.52%
Epoch [22/50], Train Loss: 0.3250, Train Acc: 87.13%, Val Loss: 0.3068, Val Acc: 87.78%
Epoch [23/50], Train Loss: 0.3362, Train Acc: 86.71%, Val Loss: 0.3017, Val Acc: 87.95%
Epoch [24/50], Train Loss: 0.3303, Train Acc: 86.90%, Val Loss: 0.3030, Val Acc: 87.78%
Epoch [25/50], Train Loss: 0.3273, Train Acc: 86.71%, Val Loss: 0.3056, Val Acc: 87.75%
Epoch [26/50], Train Loss: 0.3112, Train Acc: 87.89%, Val Loss: 0.3020, Val Acc: 87.92%
Epoch [27/50], Train Loss: 0.3225, Train Acc: 87.46%, Val Loss: 0.2977, Val Acc: 87.92%
Epoch [28/50], Train Loss: 0.3151, Train Acc: 87.38%, Val Loss: 0.3031, Val Acc: 88.15%
Epoch [29/50], Train Loss: 0.3168, Train Acc: 87.42%, Val Loss: 0.2825, Val Acc: 88.49%
Epoch [30/50], Train Loss: 0.3188, Train Acc: 87.62%, Val Loss: 0.3017, Val Acc: 88.72%
Epoch [31/50], Train Loss: 0.3137, Train Acc: 87.73%, Val Loss: 0.2881, Val Acc: 88.59%
Epoch [32/50], Train Loss: 0.3211, Train Acc: 87.15%, Val Loss: 0.3085, Val Acc: 87.75%
Epoch [33/50], Train Loss: 0.3073, Train Acc: 88.12%, Val Loss: 0.3002, Val Acc: 88.15%
Epoch [34/50], Train Loss: 0.3124, Train Acc: 87.71%, Val Loss: 0.2814, Val Acc: 89.22%
Epoch [35/50], Train Loss: 0.3108, Train Acc: 87.69%, Val Loss: 0.2934, Val Acc: 88.02%
